PLATE MJD FIBER
447 51877 0174
898 52606 0367
899 52620 0242
900 52637 0048
901 52641 0602
944 52614 0070
944 52614 0103
944 52614 0110
944 52614 0422
962 52620 0516
1005 52703 0571
1202 52672 0537
1283 52762 0063
1375 53084 0380
1375 53084 0605
1441 53083 0289
1453 53084 0559
1455 53089 0024
1455 53089 0374
1459 53117 0054
1466 53083 0563
2567 54179 0340
3173 54849 0285
3174 54821 0083
3193 54830 0325
3193 54830 0461
3215 54861 0424
3258 54884 0443
3331 54977 0158
3331 54977 0262
3367 54998 0144
5158 55913 0192
5158 55913 0918
5160 55895 0951
5161 55968 0572
6378 56330 0630
6385 56356 0669
6389 56270 0030
6390 56244 0063
6390 56244 0861
6392 56331 0381
6393 56341 0002
6393 56341 0891
6396 56358 0856
6397 56365 0158
6397 56365 0971
6398 56356 0682
6398 56356 0896
7378 56715 0322
7512 56777 0662
7516 56782 0532
7402 56810 0145
3216 54853 0577
3216 54853 0582
7512 56777 0662
7516 56782 0532
7277 56748 0097
7277 56748 0132
7277 56748 0156
7277 56748 0157
7277 56748 0285
7277 56748 0445
7277 56748 0448
7277 56748 0482
7277 56748 0506
7277 56748 0554
7277 56748 0586
7277 56748 0593
7277 56748 0632
7277 56748 0654
7277 56748 0714
7277 56748 0742
7277 56748 0744
7277 56748 0762
7277 56748 0781
7277 56748 0785
7277 56748 0810
7277 56748 0832
7277 56748 0854
7277 56748 0858
7277 56748 0871
7280 56709 0046
7280 56709 0072
7280 56709 0232
7280 56709 0233
7280 56709 0254
7280 56709 0258
7280 56709 0268
7280 56709 0360
7280 56709 0424
7280 56709 0426
7280 56709 0532
7280 56709 0552
7280 56709 0573
7280 56709 0625
7280 56709 0683
7280 56709 0744
7280 56709 0752
7280 56709 0776
7280 56709 0788
7280 56709 0815
7280 56709 0844
7280 56709 0850
7280 56709 0858
7280 56709 0880
7280 56709 0884
7280 56709 0894
7280 56709 0963
7282 56660 0015
7282 56660 0028
7282 56660 0035
7282 56660 0152
7282 56660 0240
7282 56660 0347
7282 56660 0357
7282 56660 0400
7282 56660 0452
7282 56660 0533
7282 56660 0560
7282 56660 0775
7282 56660 0779
7282 56660 0791
7282 56660 0792
7282 56660 0796
7282 56660 0818
7282 56660 0831
7284 56683 0004
7284 56683 0052
7284 56683 0098
7284 56683 0174
7284 56683 0194
7284 56683 0210
7284 56683 0220
7284 56683 0284
7284 56683 0372
7284 56683 0376
7284 56683 0508
7284 56683 0510
7284 56683 0535
7284 56683 0549
7284 56683 0551
7284 56683 0594
7284 56683 0696
7292 56709 0082
7292 56709 0158
7292 56709 0206
7292 56709 0240
7292 56709 0292
7292 56709 0294
7292 56709 0387
7292 56709 0425
7292 56709 0426
7292 56709 0468
7292 56709 0470
7292 56709 0478
7292 56709 0480
7292 56709 0552
7292 56709 0595
7292 56709 0604
7292 56709 0634
7292 56709 0664
7292 56709 0668
7292 56709 0710
7292 56709 0712
7292 56709 0716
7292 56709 0756
7292 56709 0767
7292 56709 0820
7292 56709 0884
7292 56709 0939
7292 56709 0976
7292 56709 0981
7293 56741 0030
7293 56741 0067
7293 56741 0081
7293 56741 0188
7293 56741 0206
7293 56741 0212
7293 56741 0246
7293 56741 0249
7293 56741 0264
7293 56741 0352
7293 56741 0384
7293 56741 0402
7293 56741 0406
7293 56741 0432
7293 56741 0441
7293 56741 0453
7293 56741 0459
7293 56741 0494
7293 56741 0566
7293 56741 0608
7293 56741 0685
7293 56741 0690
7293 56741 0715
7293 56741 0748
7293 56741 0757
7293 56741 0797
7293 56741 0857
7293 56741 0864
7293 56741 0970
7294 56739 0013
7294 56739 0053
7294 56739 0070
7294 56739 0072
7294 56739 0073
7294 56739 0081
7294 56739 0101
7294 56739 0110
7294 56739 0154
7294 56739 0179
7294 56739 0180
7294 56739 0182
7294 56739 0184
7294 56739 0186
7294 56739 0195
7294 56739 0202
7294 56739 0268
7294 56739 0317
7294 56739 0390
7294 56739 0426
7294 56739 0430
7294 56739 0517
7294 56739 0542
7294 56739 0550
7294 56739 0562
7294 56739 0598
7294 56739 0617
7294 56739 0620
7294 56739 0652
7294 56739 0658
7294 56739 0716
7294 56739 0756
7294 56739 0758
7294 56739 0760
7294 56739 0766
7294 56739 0802
